datetime,open,high,low,close,volume
2024-01-02,191.52,192.53,183.885,185.3081,68053454.0
2024-01-03,185.31,185.88,183.43,184.29,49384801.0
2024-01-04,184.2,184.94,180.88,181.88,58181490.0
2024-01-05,181.88,182.76,180.17,180.83,53547604.0
2024-01-06,180.89,180.9,180.74,180.78,37141.0
2024-01-07,,,,,0.0
2024-01-08,180.81,185.6,179.68,185.34,46157051.0
2024-01-09,185.31,186.43,182.73,185.48,35688334.0
2024-01-10,185.47,186.78,183.92,186.6,38647601.0
2024-01-11,186.59,187.42,183.62,185.59,41167252.0
2024-01-12,185.4,186.74,184.5,185.66,31524015.0
2024-01-13,185.7,185.7,185.59,185.63,24348.0
2024-01-14,,,,,0.0
2024-01-15,,,,,0.0
2024-01-16,183.53,185.0,180.934,183.2,54676997.0
2024-01-17,183.15,183.63,180.3,182.45,41904784.0
2024-01-18,182.41,189.14,182.04,188.6,69609202.0
2024-01-19,188.6,191.95,188.4,191.29,58227598.0
2024-01-20,191.3,191.31,191.1,191.23,26804.0
2024-01-21,,,,,0.0
2024-01-22,192.18,195.33,191.56,193.89,51452581.0
2024-01-23,193.88,195.75,193.01,195.11,37515961.0
2024-01-24,195.14,196.38,193.82,194.1,46369735.0
2024-01-25,194.1,196.2675,193.1125,194.0003,46492825.0
2024-01-26,194.08,194.8599,191.94,192.1001,37384834.0
2024-01-27,192.19,192.31,192.15,192.28,22856.0
2024-01-28,,,,,0.0
2024-01-29,192.2,192.99,189.58,191.11,38427160.0
2024-01-30,191.15,191.8,187.26,187.85,49151721.0
2024-01-31,187.88,187.9392,184.35,185.23,45300068.0
2024-02-01,185.37,191.81,179.1,180.95,58261404.0
2024-02-02,180.86,187.33,179.25,185.25,91988938.0
2024-02-03,185.25,185.32,185.06,185.11,30477.0
2024-02-04,,,,,0.0
2024-02-05,186.0,189.25,185.24,187.62,61333331.0
2024-02-06,187.62,189.87,186.52,189.69,37721946.0
2024-02-07,189.68,191.05,188.61,189.34,44532799.0
2024-02-08,189.26,189.64,187.35,188.2,33661013.0
