datetime,open,high,low,close,volume
2024-01-02,191.61,192.6,190.5,190.8,5657589.0
2024-01-03,190.88,191.22,188.16,189.4,8170043.0
2024-01-04,189.33,190.0,188.69,189.38,4007864.0
2024-01-05,189.56,191.26,187.66,189.46,7162627.0
2024-01-06,189.46,189.58,189.46,189.46,507.0
2024-01-07,,,,,0.0
2024-01-08,188.6,188.74,186.95,187.98,5893638.0
2024-01-09,188.48,189.21,187.73,188.0,4267524.0
2024-01-10,188.19,189.0,187.205,187.78,4271968.0
2024-01-11,187.8,190.01,186.56,188.6,6623133.0
2024-01-12,188.6,191.08,188.17,189.9804,6501750.0
2024-01-13,189.98,189.98,189.97,189.97,837.0
2024-01-14,,,,,0.0
2024-01-15,,,,,0.0
2024-01-16,189.47,189.95,187.54,187.87,6164898.0
2024-01-17,187.86,187.93,185.45,186.05,8134708.0
2024-01-18,186.03,187.5,185.89,187.35,4316645.0
2024-01-19,187.44,188.93,187.16,187.97,5280136.0
2024-01-20,187.97,188.38,187.97,188.38,200.0
2024-01-21,,,,,0.0
2024-01-22,187.46,188.0799,186.85,187.33,4056372.0
2024-01-23,187.36,188.15,187.28,187.88,4762454.0
2024-01-24,187.9,188.6,186.32,186.89,5906019.0
2024-01-25,186.73,187.64,185.8,187.2,4009734.0
2024-01-26,187.14,187.8,186.76,187.0,3964574.0
2024-01-27,187.0,187.09,187.0,187.09,200.0
2024-01-28,,,,,0.0
2024-01-29,188.0,188.74,187.1899,188.26,5279285.0
2024-01-30,188.24,189.83,187.975,188.63,4837216.0
2024-01-31,188.73,190.46,188.13,188.96,7590177.0
2024-02-01,188.85,191.36,188.11,190.47,9890232.0
2024-02-02,190.45,190.6,187.84,188.73,6967235.0
2024-02-03,188.9,188.9,188.88,188.88,310.0
2024-02-04,,,,,0.0
2024-02-05,187.49,188.0,186.66,187.5,4835537.0
2024-02-06,187.76,188.88,187.51,188.88,4270683.0
2024-02-07,188.42,189.39,188.18,188.56,6169565.0
2024-02-08,188.66,188.66,187.18,188.36,3698610.0
2024-02-09,188.19,188.7,187.14,187.53,4235846.0
2024-02-10,,,,,0.0
2024-02-11,,,,,0.0
2024-02-12,187.3,187.71,186.36,187.0,4553951.0
2024-02-13,187.03,188.26,184.33,184.45,8941127.0
2024-02-14,184.49,184.88,183.78,184.38,6840318.0
2024-02-15,184.65,186.02,184.6,185.61,5940221.0
2024-02-16,185.5,186.67,184.835,186.56,6153473.0
2024-02-17,186.37,186.37,186.37,186.37,1150.0
2024-02-18,,,,,0.0
2024-02-19,,,,,0.0
2024-02-20,186.7,188.12,186.7,187.5894,5226697.0
2024-02-21,187.66,188.09,187.1,187.6087,5540002.0
2024-02-22,188.04,188.33,187.05,187.59,4024911.0
2024-02-23,186.91,189.18,186.8,188.5799,6537238.0
2024-02-24,188.4994,188.5,188.4994,188.5,1000.0
2024-02-25,,,,,0.0
2024-02-26,188.29,188.43,187.53,188.22,4241399.0
2024-02-27,188.1,188.81,187.88,188.05,4399443.0
2024-02-28,188.47,188.73,187.53,188.3,2643878.0
2024-02-29,188.45,189.918,187.89,189.3,6542372.0
2024-03-01,189.33,193.4,188.92,192.93,12732803.0
2024-03-02,193.2,193.2,192.94,193.2,4308.0
2024-03-03,,,,,0.0
2024-03-04,193.09,196.3299,192.58,195.85,11056423.0
2024-03-05,195.9,198.31,195.53,197.0,9506115.0
2024-03-06,196.95,199.3,196.75,198.87,10086809.0
2024-03-07,198.71,200.43,198.71,200.2,7710982.0
2024-03-08,200.25,203.3,199.67,201.96,12117491.0
2024-03-09,201.97,202.09,201.97,202.07,11913.0
2024-03-10,,,,,0.0
2024-03-11,202.61,202.61,201.43,202.28,7091693.0
2024-03-12,201.57,202.02,199.16,199.7,9033811.0
2024-03-13,199.87,201.86,199.87,201.4,5454489.0
2024-03-14,200.86,201.13,199.34,200.2,6580778.0
2024-03-15,200.64,201.19,199.57,200.29,4375084.0
2024-03-16,,,,,0.0
2024-03-17,,,,,0.0
2024-03-18,199.29,200.26,198.82,200.2,6845535.0
2024-03-19,199.62,199.98,198.86,199.75,4362207.0
2024-03-20,199.55,205.6,199.1,203.9,9000255.0
2024-03-21,204.29,204.72,200.6,202.0,7134938.0
2024-03-22,200.72,201.86,199.715,200.7,5718227.0
2024-03-23,,,,,0.0
2024-03-24,,,,,0.0
2024-03-25,201.0,201.95,200.38,201.03,3847093.0
2024-03-26,201.1,203.57,201.07,201.74,5587999.0
2024-03-27,201.93,203.39,201.13,202.92,5627211.0
2024-03-28,202.52,207.0,202.52,206.5,8536617.0
2024-03-29,,,,,0.0
2024-03-30,,,,,0.0
2024-03-31,,,,,0.0
2024-04-01,209.5,209.5,206.29,208.16,12457628.0
2024-04-02,208.9,211.8,208.36,210.95,12944509.0
2024-04-03,210.9,213.05,209.75,212.5808,10699042.0
2024-04-04,212.25,213.45,211.02,211.91,11724461.0
2024-04-05,211.0,215.75,210.5,215.75,12876817.0
2024-04-06,,,,,0.0
2024-04-07,,,,,0.0
2024-04-08,216.26,217.05,214.61,216.47,9992898.0
2024-04-09,217.12,219.0,216.45,218.0,12814913.0
2024-04-10,217.88,218.06,214.68,216.2,12534630.0
2024-04-11,216.18,220.23,215.4,219.95,10865043.0
2024-04-12,220.73,225.09,216.02,217.21,30334183.0
2024-04-13,,,,,0.0
2024-04-14,,,,,0.0
2024-04-15,218.05,221.41,215.16,220.38,12782351.0
2024-04-16,220.5,221.99,218.78,220.77,10186508.0
2024-04-17,220.52,221.76,218.0,219.08,10965689.0
2024-04-18,220.1,221.4599,219.312,220.38,6041932.0
2024-04-19,220.71,222.36,219.64,221.3,8146081.0
2024-04-20,,,,,0.0
2024-04-21,,,,,0.0
2024-04-22,218.56,219.5,215.14,216.0,12331896.0
2024-04-23,214.13,215.86,212.12,215.1,9851994.0
2024-04-24,214.6,216.35,214.03,214.49,5236201.0
2024-04-25,215.5,217.05,214.0,215.73,5999206.0
2024-04-26,217.08,217.64,215.53,216.66,5763261.0
2024-04-27,,,,,0.0
2024-04-28,,,,,0.0
2024-04-29,216.44,217.215,215.25,215.96,6021911.0
2024-04-30,215.19,215.45,211.44,212.06,10184559.0
2024-05-01,211.51,215.5,211.29,214.87,9567899.0
2024-05-02,213.85,214.6,211.49,213.28,5889953.0
2024-05-03,213.05,214.99,210.71,213.11,8213919.0
2024-05-04,,,,,0.0
2024-05-05,,,,,0.0
2024-05-06,213.48,215.91,213.48,215.39,6466448.0
2024-05-07,214.16,215.07,213.81,214.39,4874995.0
2024-05-08,213.4,214.8,213.3,213.77,4164022.0
2024-05-09,213.95,217.4,213.55,217.4,7319033.0
2024-05-10,218.92,220.0,217.86,218.59,8399480.0
2024-05-11,,,,,0.0
2024-05-12,,,,,0.0
2024-05-13,217.99,218.13,215.8,216.41,4590788.0
2024-05-14,216.41,218.3795,216.21,218.0,4324529.0
2024-05-15,218.73,221.32,217.65,221.32,8808743.0
2024-05-16,221.11,221.25,219.41,220.14,4005128.0
2024-05-17,220.63,224.17,219.96,223.9,10063754.0
2024-05-18,,,,,0.0
2024-05-19,,,,,0.0
2024-05-20,224.62,226.7,222.78,224.56,5802189.0
2024-05-21,223.75,225.21,223.0,224.02,3569661.0
2024-05-22,223.63,223.81,219.7407,220.4,8022989.0
2024-05-23,218.0,219.65,215.34,215.66,8427374.0
2024-05-24,216.21,217.21,215.74,215.81,3465866.0
2024-05-25,,,,,0.0
2024-05-26,,,,,0.0
2024-05-27,,,,,0.0
2024-05-28,216.85,218.72,216.69,218.45,3545001.0
2024-05-29,217.17,218.25,216.0,216.38,3884420.0
2024-05-30,215.97,217.51,214.99,216.76,2876696.0
2024-05-31,216.8,218.3,214.65,215.11,5075271.0
2024-06-01,,,,,0.0
2024-06-02,,,,,0.0
2024-06-03,215.12,217.82,214.17,217.56,5655823.0
2024-06-04,216.3,217.32,214.2,215.45,5261743.0
2024-06-05,215.83,218.0795,215.62,217.91,5027843.0
2024-06-06,218.49,219.98,217.69,219.8,5051473.0
2024-06-07,219.28,220.0,211.54,212.83,11344438.0
2024-06-08,,,,,0.0
2024-06-09,,,,,0.0
2024-06-10,212.39,214.02,212.0,213.78,3804783.0
2024-06-11,213.32,214.56,213.0,214.25,3832533.0
2024-06-12,214.05,216.55,213.9,214.5201,5718378.0
2024-06-13,214.27,215.21,212.26,212.97,5468190.0
2024-06-14,213.37,216.1,213.26,215.45,5648049.0
2024-06-15,,,,,0.0
2024-06-16,,,,,0.0
2024-06-17,214.31,215.24,213.6,214.76,3442234.0
2024-06-18,214.09,215.83,213.37,215.7,4687869.0
2024-06-19,,,,,0.0
2024-06-20,216.29,218.7413,215.7,218.38,7059422.0
2024-06-21,218.6,219.0,214.255,214.45,8597575.0
2024-06-22,,,,,0.0
2024-06-23,,,,,0.0
2024-06-24,215.49,215.99,214.76,215.61,4121631.0
2024-06-25,214.9,216.0104,214.12,214.52,3657865.0
2024-06-26,214.11,214.31,212.1204,212.4,4471724.0
2024-06-27,213.2,215.5,212.69,215.2799,4069986.0
2024-06-28,215.44,216.4,214.8,215.03,3591761.0
2024-06-29,,,,,0.0
2024-06-30,,,,,0.0
2024-07-01,214.91,216.23,214.485,215.7698,3483866.0
2024-07-02,215.58,216.08,214.46,215.55,4713798.0
2024-07-03,216.89,218.7397,215.78,217.9291,4870847.0
2024-07-04,,,,,0.0
2024-07-05,218.78,221.28,217.5,220.85,5649732.0
2024-07-06,,,,,0.0
2024-07-07,,,,,0.0
2024-07-08,219.9,220.3,217.41,218.35,5074940.0
2024-07-09,218.67,219.29,217.265,218.65,3641051.0
2024-07-10,219.32,220.71,219.08,219.3,5296694.0
2024-07-11,220.07,224.1489,219.92,223.25,8917858.0
2024-07-12,222.53,223.62,221.15,223.28,5052204.0
2024-07-13,,,,,0.0
2024-07-14,,,,,0.0
2024-07-15,223.5,225.59,222.1,224.12,5494007.0
2024-07-16,225.3,228.4,224.41,228.29,10505990.0
2024-07-17,228.8,229.65,226.67,227.55,8141249.0
2024-07-18,228.53,228.7,225.57,225.8,5058193.0
2024-07-19,224.48,224.75,221.35,222.65,8213484.0
2024-07-20,,,,,0.0
2024-07-21,,,,,0.0
2024-07-22,222.32,222.6396,220.4,221.5,4502999.0
2024-07-23,221.69,222.97,220.91,222.85,3565226.0
2024-07-24,223.49,224.88,221.38,221.7,6336554.0
2024-07-25,219.98,220.25,217.52,218.5,9275033.0
2024-07-26,219.5,221.04,218.72,220.9,5977094.0
2024-07-27,,,,,0.0
2024-07-28,,,,,0.0
2024-07-29,221.19,221.55,219.045,220.4,4333793.0
2024-07-30,220.95,223.06,220.355,222.8,4566728.0
2024-07-31,223.56,226.6001,223.3,226.07,6386690.0
2024-08-01,225.66,227.57,224.72,226.1685,6725060.0
2024-08-02,227.74,229.0,222.865,226.1,10730773.0
2024-08-03,,,,,0.0
2024-08-04,,,,,0.0
2024-08-05,225.0,227.37,218.56,222.31,8286784.0
2024-08-06,223.0,223.34,220.11,220.34,10423411.0
2024-08-07,220.99,222.49,220.0,220.3,5129812.0
2024-08-08,221.47,224.46,221.16,224.3,6020575.0
2024-08-09,224.22,225.28,223.52,224.99,4322346.0
2024-08-10,,,,,0.0
2024-08-11,,,,,0.0
2024-08-12,224.0,228.88,224.0,228.88,4975451.0
2024-08-13,228.3,228.87,227.0,227.74,6240620.0
2024-08-14,228.06,229.0,225.35,226.19,5246538.0
2024-08-15,226.83,228.29,224.8,226.84,4936739.0
2024-08-16,227.63,232.3,226.52,232.28,11310664.0
2024-08-17,,,,,0.0
2024-08-18,,,,,0.0
2024-08-19,231.5,231.78,229.74,231.55,4901330.0
2024-08-20,232.0,234.01,230.71,232.57,8871040.0
2024-08-21,231.95,232.87,230.48,232.25,5149067.0
2024-08-22,231.36,231.71,228.26,229.828,5507292.0
2024-08-23,230.53,232.73,230.35,231.8,5131413.0
2024-08-24,,,,,0.0
2024-08-25,,,,,0.0
2024-08-26,233.03,233.55,232.06,232.54,3058888.0
2024-08-27,232.1,233.8,231.48,233.59,4147430.0
2024-08-28,231.9,232.09,230.5,231.63,4754224.0
2024-08-29,232.75,233.61,231.38,232.95,4966054.0
