datetime,open,high,low,close,volume
2024-01-02,437.75,437.75,432.36,434.33,5086551.0
2024-01-03,434.32,434.32,430.25,431.05,4718310.0
2024-01-04,430.89,432.78,429.21,429.77,3811646.0
2024-01-05,429.81,432.3,427.1,430.1,5661715.0
2024-01-06,430.58,430.58,430.58,430.58,407.0
2024-01-07,,,,,0.0
2024-01-08,429.43,436.27,428.86,435.77,7086191.0
2024-01-09,435.77,436.43,433.1633,435.2304,7113662.0
2024-01-10,435.5,438.735,435.09,438.1,4087373.0
2024-01-11,438.08,439.78,434.0,437.34,4750230.0
2024-01-12,437.22,439.8,435.89,437.9822,5124839.0
2024-01-13,437.97,437.97,437.97,437.97,470.0
2024-01-14,,,,,0.0
2024-01-15,,,,,0.0
2024-01-16,437.7,437.98,434.74,436.41,5612680.0
2024-01-17,436.47,436.47,431.81,433.94,5965953.0
2024-01-18,433.88,438.5,433.83,438.11,4298875.0
2024-01-19,438.05,443.64,438.0,443.3,4806024.0
2024-01-20,443.6,443.6,443.39,443.5,1200.0
2024-01-21,,,,,0.0
2024-01-22,443.29,445.92,443.29,444.25,5785390.0
2024-01-23,444.31,446.57,443.78,446.49,3105982.0
2024-01-24,446.5,449.1896,445.2,446.02,4479512.0
2024-01-25,446.04,448.76,445.89,447.63,4029760.0
2024-01-26,447.66,449.51,446.82,447.8,5681219.0
2024-01-27,,,,,0.0
2024-01-28,,,,,0.0
2024-01-29,448.39,451.6098,447.7112,451.25,4256184.0
2024-01-30,451.28,451.81,448.01,449.41,3265912.0
2024-01-31,449.58,450.01,443.58,444.48,6882711.0
2024-02-01,444.59,452.7456,444.59,451.8,5537273.0
2024-02-02,451.81,455.88,449.46,453.88,5924599.0
2024-02-03,,,,,0.0
2024-02-04,,,,,0.0
2024-02-05,453.7,454.15,450.54,452.43,6368964.0
2024-02-06,452.49,455.0,452.2,453.97,4157552.0
2024-02-07,453.87,458.18,453.76,457.54,6430401.0
2024-02-08,457.59,458.33,457.0,457.8292,3772023.0
2024-02-09,458.0,461.03,457.77,460.67,3756155.0
2024-02-10,,,,,0.0
2024-02-11,,,,,0.0
2024-02-12,460.47,462.74,459.55,459.95,4221902.0
2024-02-13,459.75,460.35,450.995,454.199,6306208.0
2024-02-14,454.25,458.81,453.98,458.56,4591166.0
2024-02-15,458.4,462.0,458.35,461.55,4190593.0
2024-02-16,461.46,462.55,458.4,458.4,4296877.0
2024-02-17,,,,,0.0
2024-02-18,,,,,0.0
2024-02-19,,,,,0.0
2024-02-20,458.0,458.17,454.43,456.229,5080061.0
2024-02-21,456.23,459.6507,453.6,459.25,4104853.0
2024-02-22,459.5,467.33,459.5,466.67,4239330.0
2024-02-23,466.55,468.87,466.0596,466.9,3732384.0
2024-02-24,466.5,466.78,466.5,466.78,801.0
2024-02-25,,,,,0.0
2024-02-26,466.11,467.59,464.74,464.86,3213472.0
2024-02-27,464.51,466.2773,463.91,465.799,3431793.0
2024-02-28,465.85,465.85,463.9428,464.25,2731466.0
2024-02-29,464.42,468.49,463.8,466.94,6930369.0
2024-03-01,467.17,471.77,466.34,471.18,4594701.0
2024-03-02,471.14,471.14,470.8,470.8,905.0
2024-03-03,,,,,0.0
2024-03-04,471.28,472.6,470.1,470.15,3686346.0
2024-03-05,470.27,470.36,464.06,466.3,4541777.0
2024-03-06,466.24,470.66,465.99,468.4,4967085.0
2024-03-07,468.25,474.19,467.19,473.31,6870512.0
2024-03-08,473.3,476.2994,469.82,470.85,6230013.0
2024-03-09,470.28,470.97,470.28,470.97,241.0
2024-03-10,,,,,0.0
2024-03-11,469.8,471.1,467.39,471.09,4964069.0
